500 590
198 449 35
155 293 34
156 460 33
323 286 33
358 177 34
245 181 35
490 323 37
100 454 30
364 42 47
159 419 35
344 469 35
51 476 49
19 133 32
304 456 34
475 166 47
467 412 44
229 402 35
131 2 38
207 218 48
183 377 37
472 73 50
62 125 38
297 496 39
141 153 41
474 480 30
485 448 37
30 29 50
398 160 44
424 219 39
141 402 43
480 226 35
289 140 41
223 438 40
493 431 36
220 405 30
113 391 48
270 421 30
329 171 45
243 95 31
24 88 45
386 69 48
469 210 47
30 433 35
87 279 38
149 499 35
339 464 48
330 86 43
349 415 48
381 11 47
133 387 38
287 273 47
19 242 31
244 124 37
259 63 34
353 212 31
205 404 30
299 234 34
315 435 43
353 169 47
487 302 37
62 89 45
205 460 32
411 57 32
403 316 30
321 22 34
443 79 39
28 378 45
200 45 50
287 399 45
89 386 31
426 448 42
36 6 34
92 417 44
421 320 33
166 494 48
123 437 35
484 317 32
431 17 47
165 156 41
69 245 50
422 171 35
69 59 38
176 152 35
340 425 32
172 91 33
27 66 39
312 50 49
124 333 43
186 499 34
294 68 37
141 342 38
437 263 31
90 439 37
13 131 39
257 304 32
346 183 43
225 495 35
421 472 46
134 158 34
356 452 30
472 446 35
111 383 42
161 325 32
216 339 40
344 96 45
267 294 47
257 19 47
150 292 50
376 279 50
453 135 36
98 107 48
437 70 48
40 84 44
83 300 38
109 496 34
439 263 36
304 373 50
164 23 34
349 251 44
339 204 40
486 302 50
79 91 38
407 484 49
61 419 46
53 28 36
494 319 41
81 123 50
187 139 48
438 488 30
320 180 40
486 18 34
463 98 38
10 5 46
142 66 37
425 472 40
353 466 30
248 47 41
16 86 30
159 377 35
53 197 32
3 35 50
107 498 41
154 361 40
334 3 42
284 428 33
263 133 37
60 381 39
185 397 38
97 408 35
349 313 46
134 316 38
85 275 50
486 430 49
392 116 34
69 252 38
366 15 48
333 428 33
347 113 32
300 62 40
129 263 40
8 397 38
275 482 34
40 320 37
18 65 41
499 134 32
408 353 43
303 186 48
432 34 40
310 334 40
96 315 47
196 324 48
465 451 36
361 343 45
187 361 40
481 360 31
379 120 45
293 424 45
135 208 39
442 370 34
163 466 33
0 15 32
234 332 37
450 193 49
339 380 43
293 213 42
382 444 32
323 238 30
451 373 38
465 168 37
313 183 35
477 35 45
464 269 50
107 72 31
240 411 39
87 57 43
293 439 42
120 114 46
371 418 33
34 383 35
67 197 35
67 174 30
433 490 36
132 449 39
23 190 50
147 129 38
335 422 44
468 43 44
339 266 48
436 153 46
52 220 43
204 287 36
40 221 49
497 205 44
378 228 44
170 227 39
20 63 40
160 383 44
267 223 32
292 11 30
53 63 43
362 268 37
198 160 44
376 9 42
3 387 31
173 57 42
323 429 44
44 442 49
12 209 49
