600 690
16 539 40
544 196 45
67 94 47
357 319 47
250 492 50
476 79 50
553 35 36
598 107 48
537 170 48
540 584 44
483 0 38
209 296 34
539 363 36
104 473 50
364 123 34
149 351 44
139 304 40
386 302 50
279 591 38
7 284 49
161 519 46
253 128 36
294 419 41
181 523 50
387 39 48
238 188 30
520 80 40
486 218 34
63 498 38
410 505 46
142 66 37
225 72 40
253 366 30
148 547 41
516 86 30
159 77 35
153 597 32
203 235 50
307 298 41
154 461 40
534 3 42
584 228 33
163 233 37
160 381 39
185 297 38
497 208 35
149 113 46
234 316 38
185 375 50
386 530 49
492 216 34
169 552 38
166 115 48
33 28 33
447 213 32
100 462 40
429 363 40
508 597 38
575 182 34
340 320 37
318 565 41
299 134 32
508 53 43
103 86 48
432 534 40
210 34 40
196 215 47
296 124 48
465 451 36
161 543 45
387 261 40
581 560 31
479 220 45
493 324 45
535 508 39
542 470 34
500 115 32
234 332 37
150 493 49
139 280 43
93 13 42
182 244 32
323 138 30
551 73 38
465 368 37
413 283 35
577 535 45
264 169 50
507 72 31
340 211 39
187 57 43
593 239 42
20 314 46
371 18 33
134 483 35
367 297 35
67 274 30
233 290 36
132 549 39
523 290 50
347 229 38
535 222 44
368 243 44
339 366 48
136 253 46
52 20 43
4 87 36
140 321 49
197 205 44
78 128 44
170 227 39
320 163 40
460 283 44
67 23 32
292 511 30
153 563 43
62 568 37
598 460 44
576 409 42
503 487 31
473 57 42
423 129 44
244 342 49
412 409 49
347 454 50
534 359 32
142 173 43
438 171 39
558 499 49
284 155 36
490 380 44
323 203 38
320 200 32
352 12 38
407 359 33
125 294 32
158 436 46
160 26 39
373 337 47
148 21 46
409 263 48
232 586 42
433 58 33
127 410 39
231 569 39
541 446 49
258 5 44
501 165 48
67 290 34
132 438 32
105 0 43
457 232 35
61 417 43
569 297 40
138 528 49
418 470 42
392 480 42
554 133 45
143 200 34
421 85 31
120 190 38
434 47 50
383 461 30
142 430 45
63 320 40
554 138 34
292 530 31
34 485 43
294 380 39
244 202 32
384 322 40
525 157 40
402 292 37
96 186 36
440 249 48
112 556 36
254 248 40
28 282 33
288 576 50
397 220 33
94 5 45
582 282 35
269 436 30
417 284 37
499 124 47
550 236 36
492 242 35
364 23 36
121 311 49
10 460 42
102 555 30
516 289 43
239 558 38
6 375 34
311 274 46
265 577 40
176 469 41
334 233 47
527 106 50
97 116 40
239 570 35
386 486 46
567 477 43
336 235 50
37 546 31
567 212 47
134 140 37
295 474 36
231 402 41
230 251 35
442 490 33
361 276 37
569 595 44
135 331 35
180 120 38
500 88 47
196 574 49
114 269 48
16 252 49
25 482 30
502 77 43
349 190 44
435 160 48
399 47 38
102 228 41
