400 600
359 262 36
83 241 37
123 324 49
322 154 33
221 257 48
347 371 47
269 18 47
103 253 35
107 359 45
6 197 39
284 108 30
298 191 39
98 315 48
371 189 50
106 10 34
224 309 39
0 178 38
253 281 40
138 389 45
67 347 37
387 231 35
122 81 39
50 179 41
254 150 45
213 257 41
381 81 45
120 33 41
181 287 50
96 25 34
322 92 45
297 32 33
381 106 46
257 108 48
399 362 34
283 176 34
177 109 39
332 182 48
266 363 31
82 11 37
286 285 37
390 183 39
276 116 46
292 325 42
39 325 45
336 160 32
43 337 49
182 221 39
355 88 50
15 170 33
53 8 41
183 350 39
297 227 30
69 71 45
349 110 30
239 398 42
210 393 48
290 176 43
152 131 35
377 99 45
166 152 31
241 335 33
98 184 30
376 205 37
228 154 49
308 393 49
197 155 43
374 45 35
325 197 43
12 127 48
221 293 34
39 134 48
159 185 36
154 161 35
172 341 34
252 250 47
282 399 33
354 373 30
106 251 45
390 263 37
372 37 47
59 28 45
80 187 38
190 341 45
152 65 40
269 317 44
283 151 44
100 106 42
267 164 48
232 154 44
275 79 46
212 138 32
236 170 47
44 360 47
14 65 39
326 286 38
39 169 43
152 221 43
190 89 41
31 273 35
135 148 36
277 313 32
398 149 35
355 193 34
156 160 33
23 86 33
158 77 34
45 181 35
390 323 37
100 354 30
364 42 47
259 319 35
244 269 35
351 176 49
19 333 32
104 356 34
75 66 47
167 112 44
129 102 35
131 202 38
7 118 48
383 377 37
272 173 50
262 125 38
397 96 39
341 153 41
274 180 30
285 348 37
30 29 50
98 160 44
24 119 39
41 102 43
280 326 35
389 140 41
323 138 40
93 31 36
220 305 30
13 191 48
270 221 30
229 271 45
343 295 31
224 288 45
386 169 48
369 110 47
30 33 35
187 79 38
49 299 35
139 264 48
130 86 43
149 315 48
281 211 47
133 387 38
87 373 47
319 342 31
244 324 37
259 63 34
353 112 31
305 204 30
399 334 34
315 35 43
53 269 47
87 2 37
362 89 45
5 360 32
111 157 32
203 16 30
21 322 34
43 179 39
328 178 45
300 45 50
187 99 45
189 186 31
226 148 42
236 106 34
92 217 44
321 20 33
166 394 48
123 37 35
284 317 32
331 217 47
365 356 41
269 145 50
222 371 35
169 159 38
76 252 35
140 125 32
172 291 33
127 366 39
212 250 49
124 133 43
386 99 34
394 368 37
141 142 38
37 263 31
390 339 37
113 31 39
257 204 32
346 283 43
25 95 35
21 172 46
234 158 34
356 152 30
272 246 35
111 283 42
61 225 32
216 339 40
144 196 45
267 94 47
357 119 47
250 92 50
276 279 50
353 235 36
398 107 48
137 170 48
140 184 44
83 0 38
9 96 34
139 363 36
104 273 50
164 123 34
349 351 44
339 304 40
386 302 50
279 391 38
7 84 49
361 119 46
253 128 36
294 219 41
381 323 50
187 39 48
38 388 30
120 280 40
86 218 34
63 98 38
210 105 46
142 66 37
25 272 40
53 166 30
348 147 41
116 286 30
359 277 35
153 397 32
203 35 50
107 98 41
354 261 40
334 3 42
384 28 33
163 33 37
160 381 39
385 97 38
297 8 35
149 113 46
234 316 38
185 375 50
186 330 49
292 216 34
369 152 38
366 315 48
33 28 33
247 13 32
300 262 40
229 363 40
108 197 38
375 382 34
340 120 37
118 365 41
299 334 32
108 253 43
303 286 48
32 134 40
210 34 40
396 215 47
296 324 48
65 251 36
161 143 45
187 261 40
279 220 45
93 124 45
335 108 39
142 270 34
163 266 33
100 115 32
234 132 37
350 293 49
139 80 43
293 13 42
382 244 32
323 338 30
151 273 38
65 368 37
13 83 35
177 135 45
264 369 50
107 272 31
140 11 39
387 257 43
393 239 42
220 114 46
171 218 33
134 283 35
367 297 35
67 74 30
233 290 36
132 349 39
323 90 50
147 29 38
335 22 44
368 243 44
339 366 48
136 53 46
252 20 43
4 87 36
340 321 49
197 5 44
278 328 44
370 27 39
320 363 40
60 283 44
267 223 32
292 311 30
153 163 43
262 168 37
398 60 44
376 209 42
303 87 31
273 57 42
223 329 44
244 342 49
12 209 49
147 54 50
334 159 32
142 373 43
38 371 39
158 299 49
284 155 36
290 380 44
323 203 38
320 0 32
152 12 38
207 159 33
