800 1000
634 132 37
350 693 49
539 480 43
693 413 42
782 244 32
723 338 30
151 673 38
465 368 37
413 483 35
177 135 45
264 769 50
507 672 31
140 411 39
787 657 43
393 639 42
220 114 46
571 618 33
534 283 35
767 697 35
467 74 30
233 690 36
132 749 39
723 90 50
547 429 38
335 22 44
368 243 44
739 366 48
536 453 46
252 420 43
4 87 36
340 321 49
197 5 44
278 728 44
770 27 39
320 363 40
60 283 44
267 223 32
292 311 30
153 563 43
262 568 37
798 460 44
776 209 42
703 487 31
273 457 42
623 329 44
644 742 49
12 209 49
547 54 50
734 559 32
542 373 43
438 371 39
558 699 49
684 155 36
290 780 44
723 603 38
720 0 32
552 12 38
607 559 33
525 494 32
558 236 46
360 226 39
173 337 47
548 221 46
609 63 48
232 786 42
633 258 33
527 10 39
631 169 39
341 246 49
258 5 44
101 365 48
667 90 34
332 638 32
505 0 43
657 232 35
261 417 43
569 497 40
538 328 49
618 670 42
392 480 42
754 133 45
543 0 34
221 685 31
120 390 38
434 247 50
383 61 30
142 630 45
263 720 40
554 538 34
292 130 31
34 85 43
494 180 39
244 402 32
184 522 40
125 157 40
202 92 37
696 586 36
440 49 48
512 156 36
454 448 40
428 482 33
88 176 50
197 420 33
94 605 45
382 282 35
469 36 30
617 284 37
499 724 47
750 436 36
292 442 35
764 423 36
521 511 49
10 260 42
702 355 30
316 289 43
439 758 38
206 575 34
111 274 46
65 577 40
176 69 41
734 33 47
527 106 50
497 116 40
439 370 35
186 686 46
567 677 43
536 435 50
437 546 31
167 612 47
334 340 37
495 274 36
631 2 41
30 51 35
42 490 33
761 676 37
169 795 44
335 531 35
180 520 38
300 688 47
196 574 49
514 269 48
416 452 49
425 482 30
102 77 43
149 390 44
435 560 48
599 447 38
302 628 41
199 128 49
613 676 32
566 390 41
794 359 32
576 784 45
409 438 45
284 139 37
35 575 38
581 726 36
762 228 33
664 779 48
453 144 37
369 711 49
105 257 47
742 34 41
165 795 36
465 632 33
707 667 38
358 1 46
360 763 37
638 627 41
596 633 32
430 554 50
207 659 48
695 601 44
367 318 38
29 335 44
631 243 32
207 153 42
62 513 36
496 351 50
110 499 33
669 481 32
690 689 35
169 136 44
482 504 30
695 533 48
387 364 45
651 124 47
564 538 39
793 234 43
401 345 37
194 566 47
189 456 30
395 626 45
403 660 37
282 555 35
48 495 38
505 346 32
667 463 34
190 8 47
768 761 45
693 155 47
651 344 30
51 291 32
35 247 46
75 81 36
200 129 38
242 634 50
760 501 43
664 243 46
355 211 33
742 456 47
96 659 50
258 710 46
246 297 46
94 724 49
50 125 31
53 719 47
755 680 30
319 96 31
244 3 38
129 746 39
170 394 47
458 652 41
686 98 36
713 544 39
21 147 31
258 200 39
329 507 47
453 379 32
372 175 35
502 304 48
640 26 46
286 485 46
546 723 33
751 637 39
433 210 31
592 469 34
671 350 49
181 356 44
588 728 34
551 783 41
459 623 44
314 461 37
372 207 36
529 511 39
430 144 36
478 737 31
278 160 35
586 341 32
25 482 40
439 233 47
358 244 37
655 110 31
189 483 34
446 212 35
93 642 41
750 320 48
628 150 47
56 737 30
641 314 44
258 754 48
658 664 42
81 519 35
318 260 49
763 706 39
118 799 39
770 301 46
111 129 46
412 186 34
255 379 43
579 189 38
689 47 45
595 480 38
611 799 43
311 314 44
126 784 30
232 307 45
561 418 50
241 31 48
210 286 41
494 417 37
283 658 34
737 453 34
13 617 41
798 480 33
241 606 40
35 38 47
709 745 32
224 156 44
471 202 42
106 485 42
589 774 37
656 788 30
370 338 40
302 579 35
218 166 42
442 650 35
284 559 30
61 335 47
124 6 39
156 113 31
47 254 40
744 110 31
457 32 39
651 686 34
299 104 35
689 546 39
784 382 41
472 443 39
668 119 41
618 276 33
253 675 40
215 619 45
69 277 36
709 480 37
232 331 36
722 220 49
613 556 38
264 228 43
250 448 40
594 618 36
604 72 45
67 639 30
793 709 32
654 170 39
50 755 33
350 229 45
748 42 40
377 306 35
354 108 49
98 703 47
470 507 30
269 126 50
240 471 44
488 326 40
416 376 43
227 278 33
259 226 45
399 604 43
767 158 40
688 608 42
76 630 34
239 451 41
242 692 42
506 380 38
493 349 41
786 128 32
509 387 30
626 338 42
249 658 39
781 546 50
320 174 41
14 414 43
539 656 38
735 715 47
457 760 34
107 746 46
483 455 32
637 633 46
148 83 48
168 416 36
349 737 48
359 303 39
21 42 33
375 777 39
662 786 50
497 93 36
461 128 39
717 766 34
159 466 31
259 186 42
457 535 36
30 95 34
17 116 48
213 492 50
323 706 42
394 403 35
763 417 31
339 334 49
549 493 38
42 304 46
304 313 48
502 344 38
204 361 46
301 126 41
727 450 35
339 396 32
45 711 30
680 602 48
32 352 41
203 746 48
560 250 49
652 753 44
40 157 38
248 10 36
148 737 44
754 277 41
163 674 31
342 554 44
54 139 41
164 342 42
577 102 35
504 754 30
775 346 48
160 594 45
23 742 39
688 696 41
149 412 35
225 754 45
551 360 45
782 524 44
159 302 33
586 6 34
167 334 30
609 46 39
709 69 47
651 757 36
70 458 31
164 683 30
364 786 48
703 768 36
232 127 50
567 266 50
504 433 45
692 594 44
675 55 30
600 707 38
773 777 35
559 493 43
650 57 34
302 760 40
31 544 46
61 311 40
98 368 41
21 260 46
790 487 46
380 287 32
279 613 34
636 724 34
428 574 49
559 429 50
658 460 47
84 73 43
129 524 43
158 545 43
782 88 33
661 468 47
447 300 32
562 136 48
371 117 35
238 676 31
417 534 39
340 170 39
127 651 50
