900 1100
808 53 43
403 386 48
132 534 40
210 334 40
196 215 47
596 424 48
465 751 36
761 543 45
87 561 40
881 560 31
479 520 45
493 24 45
835 208 39
542 470 34
763 666 33
800 415 32
534 32 37
150 793 49
139 880 43
693 13 42
482 544 32
323 138 30
551 73 38
465 668 37
713 583 35
277 535 45
264 169 50
207 372 31
640 511 39
787 357 43
593 839 42
20 314 46
371 18 33
134 483 35
367 297 35
367 574 30
833 890 36
432 249 39
823 890 50
347 829 38
835 522 44
68 543 44
339 66 48
736 253 46
52 620 43
4 87 36
440 21 49
197 505 44
378 428 44
170 827 39
320 763 40
460 883 44
67 323 32
592 211 30
753 263 43
362 268 37
876 109 42
503 487 31
173 657 42
723 129 44
844 642 49
712 709 49
647 454 50
834 359 32
742 773 43
738 471 39
858 499 49
584 155 36
790 380 44
23 203 38
20 200 32
52 12 38
407 659 33
125 594 32
158 436 46
460 326 39
673 337 47
148 21 46
109 863 48
832 886 42
733 58 33
427 110 39
831 569 39
841 746 49
258 5 44
501 465 48
367 290 34
732 438 32
405 600 43
457 532 35
661 417 43
269 897 40
738 828 49
118 770 42
92 180 42
554 733 45
443 200 34
721 85 31
120 490 38
434 47 50
683 761 30
142 130 45
663 20 40
854 138 34
892 230 31
34 785 43
594 380 39
544 202 32
84 322 40
225 757 40
102 592 37
396 786 36
740 549 48
112 556 36
254 548 40
628 582 33
888 276 50
397 820 33
94 5 45
569 436 30
717 884 37
199 724 47
550 836 36
192 242 35
64 23 36
721 11 49
10 460 42
402 555 30
216 889 43
839 558 38
306 375 34
611 574 46
565 277 40
176 469 41
334 533 47
227 406 50
397 416 40
539 870 35
686 186 46
267 177 43
336 535 50
337 246 31
267 812 47
134 140 37
295 474 36
531 702 41
830 251 35
742 790 33
361 576 37
869 895 44
135 331 35
780 720 38
200 88 47
796 274 49
114 569 48
16 252 49
325 182 30
202 77 43
49 490 44
135 460 48
399 647 38
402 528 41
599 728 49
813 676 32
266 790 41
194 859 32
876 284 45
9 538 45
884 639 37
535 775 38
181 326 36
262 728 33
164 479 48
153 444 37
469 711 49
505 57 47
742 34 41
365 95 36
65 132 33
307 667 38
58 1 46
560 263 37
638 427 41
596 633 32
330 254 50
7 759 48
595 601 44
567 118 38
229 235 44
531 543 32
707 653 42
362 313 36
796 51 50
810 699 33
369 181 32
690 189 35
169 836 44
582 504 30
295 733 48
87 364 45
651 224 47
264 638 39
193 534 43
601 445 37
794 866 47
289 656 30
595 826 45
603 560 37
782 855 35
348 95 38
405 746 32
267 163 34
390 408 47
668 161 45
693 55 47
51 344 30
551 91 32
35 747 46
75 681 36
0 129 38
342 534 50
60 801 43
364 343 46
355 111 33
842 856 47
396 59 50
658 610 46
846 697 46
694 824 49
550 825 31
553 319 47
455 380 30
519 796 31
144 303 38
829 246 39
670 694 47
58 452 41
386 398 36
613 244 39
621 847 31
758 500 39
529 107 47
253 679 32
372 875 35
602 804 48
840 626 46
186 685 46
246 223 33
51 837 39
733 610 31
492 469 34
571 150 49
181 456 44
588 828 34
451 583 41
559 523 44
514 761 37
72 107 36
29 211 39
230 44 36
378 537 31
178 260 35
86 441 32
725 182 40
439 633 47
58 344 37
355 10 31
489 83 34
846 112 35
293 342 41
350 720 48
28 50 47
756 137 30
141 14 44
458 454 48
458 564 42
81 19 35
518 560 49
163 506 39
18 799 39
870 301 46
511 329 46
412 186 34
755 379 43
379 889 38
689 447 45
495 580 38
311 199 43
211 414 44
326 484 30
732 507 45
161 118 50
541 531 48
210 386 41
794 817 37
83 658 34
837 253 34
813 617 41
398 880 33
541 306 40
635 138 47
131 352 34
9 45 32
124 256 44
671 202 42
306 285 42
389 274 37
256 188 30
270 638 40
802 279 35
18 66 42
642 250 35
484 259 30
61 435 47
24 206 39
856 513 31
547 54 40
544 310 31
257 632 39
851 586 34
799 604 35
89 346 39
684 882 41
372 43 39
368 119 41
618 76 33
253 675 40
215 319 45
469 577 36
409 580 37
732 531 36
222 620 49
13 456 38
64 828 43
550 348 40
394 118 36
804 372 45
367 639 30
293 209 32
54 670 39
350 555 33
350 829 45
748 842 40
177 6 35
654 608 49
298 103 47
70 7 30
569 426 50
540 771 44
188 826 40
416 276 43
327 678 33
859 526 45
99 704 43
167 458 40
688 808 42
376 30 34
539 651 41
442 292 42
606 480 38
593 49 41
286 428 32
809 387 30
426 538 42
49 758 39
281 546 50
720 74 41
214 614 43
239 156 38
135 815 47
857 560 34
107 846 46
883 755 32
437 333 46
748 383 48
668 716 36
549 537 48
459 803 39
121 142 33
75 277 39
562 286 50
197 393 36
261 428 39
817 866 34
59 766 31
59 586 42
657 235 36
430 695 34
817 816 48
513 892 50
123 606 42
294 803 35
463 217 31
539 134 49
49 193 38
842 304 46
604 113 48
2 544 38
204 461 46
601 126 41
427 250 35
539 596 32
145 211 30
180 802 48
232 852 41
203 846 48
760 550 49
652 553 44
340 757 38
48 510 36
648 37 44
54 577 41
263 774 31
742 54 44
454 339 41
464 542 42
777 402 35
304 154 30
375 546 48
60 594 45
823 342 39
88 396 41
849 712 35
125 554 45
151 160 45
182 624 44
159 502 33
686 806 34
867 334 30
109 446 39
709 369 47
551 457 36
70 458 31
364 583 30
764 786 48
603 68 36
32 227 50
867 66 50
4 33 45
692 194 44
175 55 30
0 607 38
273 677 35
359 193 43
150 57 34
102 660 40
731 744 46
61 711 40
198 768 41
721 560 46
790 787 46
380 787 32
479 213 34
136 624 34
428 774 49
659 29 50
58 760 47
584 873 43
329 224 43
158 45 43
182 888 33
261 368 47
47 0 32
562 136 48
371 617 35
238 376 31
817 434 39
340 170 39
627 551 50
782 710 43
598 892 31
353 253 31
47 352 50
855 14 34
486 438 31
44 728 48
583 645 32
134 137 35
507 765 50
255 647 43
49 397 48
783 802 43
138 850 47
392 805 41
835 391 30
95 488 35
683 223 30
857 358 31
302 865 31
350 220 37
208 322 45
58 257 31
161 395 35
668 840 34
341 775 49
453 23 42
444 758 31
233 716 47
159 170 34
850 572 34
440 780 36
480 838 41
371 99 48
263 819 36
61 312 47
354 817 43
183 362 40
287 595 37
329 756 50
129 296 32
355 829 46
787 300 46
818 615 41
737 728 44
635 182 34
505 417 34
285 757 45
781 607 49
599 36 43
89 218 34
307 573 38
515 512 33
874 430 44
304 319 32
46 55 41
606 612 33
628 897 34
397 830 38
72 529 46
503 618 40
383 77 47
191 644 38
352 670 46
228 126 37
884 172 48
875 779 49
384 559 31
649 109 37
674 181 41
735 737 36
166 220 45
274 411 44
843 815 43
147 143 34
722 180 48
504 207 50
898 591 38
389 393 30
762 167 41
816 54 43
640 272 36
541 546 50
238 542 43
605 689 31
250 563 32
67 167 38
716 165 31
124 606 37
541 520 42
291 488 39
831 228 38
690 769 35
113 159 35
352 816 35
786 166 40
500 285 43
473 101 46
138 277 44
196 818 48
473 262 44
804 193 36
507 35 41
