700 850
499 524 47
650 136 36
592 142 35
364 323 36
521 411 49
210 360 42
2 655 30
416 489 43
239 158 38
6 275 34
11 74 46
665 177 40
476 69 41
334 433 47
527 406 50
197 616 40
39 70 35
186 486 46
367 177 43
436 335 50
237 346 31
167 312 47
234 240 37
595 574 36
31 402 41
30 51 35
542 90 33
461 276 37
169 95 44
35 531 35
480 220 38
300 388 47
296 74 49
514 669 48
616 152 49
425 182 30
302 177 43
249 90 44
135 260 48
199 447 38
202 228 41
399 528 49
513 276 32
166 90 41
394 159 32
476 584 45
609 338 45
284 39 37
235 175 38
281 526 36
462 28 33
164 579 48
253 544 37
569 11 49
305 557 47
42 334 41
265 395 36
665 132 33
607 367 38
658 101 46
60 563 37
238 27 41
396 433 32
130 454 50
107 59 48
395 101 44
567 518 38
529 635 44
531 543 32
7 653 42
162 13 36
496 251 50
10 99 33
69 381 32
290 489 35
369 336 44
82 204 30
495 33 48
187 564 45
551 24 47
164 338 39
493 134 43
301 145 37
694 366 47
689 656 30
195 326 45
503 560 37
82 355 35
448 695 38
505 546 32
667 163 34
690 108 47
568 561 45
393 555 47
51 544 30
351 191 32
135 147 46
275 381 36
600 129 38
242 634 50
60 601 43
64 43 46
355 611 33
242 456 47
496 659 50
158 310 46
146 597 46
694 324 49
350 225 31
153 619 47
655 680 30
619 196 31
144 3 38
229 246 39
170 194 47
258 352 41
386 498 36
113 644 39
221 447 31
458 600 39
629 7 47
153 79 32
572 375 35
202 604 48
440 226 46
486 485 46
446 323 33
151 437 39
333 110 31
192 569 34
671 650 49
581 256 44
688 128 34
251 483 41
59 223 44
214 161 37
172 607 36
629 211 39
330 544 36
478 37 31
678 160 35
186 41 32
625 182 40
39 433 47
58 644 37
455 310 31
89 483 34
46 412 35
593 42 41
550 520 48
528 650 47
456 137 30
641 214 44
558 254 48
258 464 42
181 219 35
418 460 49
563 506 39
218 399 39
570 401 46
411 229 46
412 686 34
455 79 43
679 89 38
89 347 45
295 680 38
111 399 43
411 414 44
26 84 30
232 107 45
561 518 50
141 231 48
10 686 41
94 117 37
583 358 34
137 653 34
213 217 41
598 80 33
241 106 40
435 338 47
331 352 34
609 645 32
324 656 44
271 202 42
306 85 42
689 374 37
656 588 30
170 638 40
402 179 35
18 66 42
442 550 35
684 459 30
61 235 47
124 506 39
456 113 31
447 254 40
544 210 31
157 532 39
